"Date","Distance","Weight","Department","Transport","Klients","Income"
"2010-1","145734","3274","16","38","146","44643.6"
"2010-2","94413","2817","16","39","171","40472.2"
"2010-3","18208","2135","16","40","203","20614.866666667"
"2010-4","85189.4","2731.2","17","41","218","33994.693333333"
"2010-5","310417","4740","19","46","233","84382.466666667"
"2010-6","88693","2757","23","59","275","35221.866666667"
"2010-7","90213","2771","23","57","283","47872.2"
"2010-8","117713","3015","23","61","314","53692.533333333"
"2010-9","142617","3239","24","68","336","53567.8"
"2010-10","362051","5200.5","24","72","368","80123.733333333"
"2010-11","496844.8","6398.4","29","90","424","106813.78666667"
"2010-12","1228274","12924","32","98","457","227476.93333333"
"2011-1","792002","9028","34","104","479","164496.13333333"
"2011-2","570515","7047","39","117","497","118406.33333333"
"2011-3","323406","4843","39","117","513","89331.4"
"2011-4","455753.6","6022.8","39","121","537","95274.173333333"
"2011-5","965089","10570","43","132","571","187751.26666667"
"2011-6","412144","5632","48","151","612","92881.266666667"
"2011-7","438266","5861","48","151","640","98804.733333333"
"2011-8","468738","6132","54","168","672","109278.2"
"2011-9","495581","6371","59","181","702","107243.73333333"
"2011-10","916313","10122","62","193","742","183497.53333333"
"2011-11","1030266.8","11142.4","62","191","770","198302.25333333"
"2011-12","2203262","21612","67","210","802","407916.13333333"
"2012-1","1416118","14580","71","224","817","267292.86666667"
"2012-2","1022792","11068.5","71","227","829","198155.13333333"
"2012-3","664027","7864","77","246","889","146656.46666667"
"2012-4","862627.8","9638.4","77","245","909","164174.32"
"2012-5","1644579","16618","77","244","940","318629.6"
"2012-6","704263","8223","77","247","935","145228.86666667"
"2012-7","704738","8227","77","252","935","147742.53333333"
"2012-8","719136","8352","80","264","949","156975.4"
"2012-9","730291","8455","80","266","961","148440.06666667"
"2012-10","1237464","12981","80","268","993","245630.6"
"2012-11","1357461.8","14054.4","80","273","1015","263783.25333333"
"2012-12","2843659","27324","80","273","1047","512389.26666667"
"2013-1","1896580","18868","85","288","1098","350992.66666667"
"2013-2","1420254","14614.5","84","287","1124","266234.6"
